abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.997083,-0.179896,0.235832,495.301816,495.301905,0.032137,-0.278249,0.641551,0.158679,492.728121,0.065744,0.777910,-8.413534,8.449675,0.000000,0.000000,-0.152786,-0.649273,-9.102308
0.997500,-0.139942,0.155226,495.778146,495.778190,0.031500,-0.278307,0.641612,0.158606,492.934673,0.225899,0.697643,-9.672982,9.700738,0.000000,0.000000,-0.152872,-0.649560,-9.106339
0.997917,-0.139879,0.195147,495.934783,495.934841,0.031958,-0.278335,0.641656,0.158536,493.141181,0.265812,0.577052,-10.931604,10.950051,0.000000,0.000000,-0.152977,-0.649806,-9.110708
0.998333,0.061096,0.074747,494.196928,494.196937,0.032116,-0.278743,0.641684,0.158488,493.347349,0.225836,0.536812,-9.516160,9.533964,0.000000,0.000000,-0.153063,-0.650039,-9.114651
0.998750,-0.501557,0.195529,496.091439,496.091731,0.031920,-0.278804,0.641829,0.158426,493.553867,0.065681,0.617291,-7.783634,7.808349,0.000000,0.000000,-0.153109,-0.650279,-9.118113
0.999167,-0.139942,0.034443,495.301814,495.301835,0.031731,-0.278004,0.641906,0.158386,493.760364,0.185861,0.456587,-9.201218,9.214414,0.000000,0.000000,-0.153184,-0.650500,-9.121826
0.999583,-0.059527,0.235577,496.251035,496.251094,0.031662,-0.278162,0.641937,0.158308,493.966992,0.265875,0.737840,-8.887742,8.922279,0.000000,0.000000,-0.153281,-0.650785,-9.125606
1.000000,-0.059464,0.155735,495.145155,495.145183,0.032336,-0.278888,0.641970,0.158240,494.173358,0.145759,0.697558,-9.674451,9.700662,0.000000,0.000000,-0.153358,-0.651081,-9.129572
1.000417,-0.180150,0.114795,494.828434,494.828480,0.031832,-0.278390,0.642053,0.158187,494.379569,0.266001,0.737713,-9.517945,9.550197,0.000000,0.000000,-0.153450,-0.651394,-9.133526
1.000833,-0.421078,0.154971,494.987029,494.987232,0.031647,-0.278640,0.642195,0.158130,494.585803,0.105846,0.858346,-9.203825,9.244369,0.000000,0.000000,-0.153511,-0.651724,-9.137426
1.001250,-0.180086,0.074874,494.988015,494.988054,0.032158,-0.279079,0.642290,0.158080,494.792059,0.185798,0.577094,-9.827835,9.846517,0.000000,0.000000,-0.153566,-0.651998,-9.141424
1.001667,-0.220167,0.275880,495.144665,495.144791,0.031549,-0.279122,0.642368,0.157984,494.998380,-0.054246,0.777994,-9.043413,9.076978,0.000000,0.000000,-0.153574,-0.652294,-9.145268
1.002083,-0.059337,0.195529,495.460429,495.460471,0.031913,-0.278044,0.642392,0.157903,495.204723,0.145822,0.577094,-9.361126,9.380031,0.000000,0.000000,-0.153626,-0.652557,-9.149179
1.002500,0.101177,0.114667,494.355524,494.355548,0.032437,-0.278546,0.642373,0.157855,495.410836,0.225962,0.697558,-9.834031,9.861329,0.000000,0.000000,-0.153701,-0.652825,-9.153211
1.002917,-0.059400,0.034571,495.143686,495.143691,0.032066,-0.276866,0.642386,0.157818,495.617026,0.025705,0.496658,-9.356733,9.369940,0.000000,0.000000,-0.153728,-0.653057,-9.157165
1.003333,-0.059527,0.276262,494.198400,494.198481,0.032129,-0.279434,0.642422,0.157737,495.823095,0.065744,0.657361,-9.677192,9.699716,0.000000,0.000000,-0.153747,-0.653312,-9.161174
1.003750,-0.220167,0.034698,495.460918,495.460969,0.032599,-0.277583,0.642489,0.157697,496.029372,-0.014208,0.536770,-9.670203,9.685100,0.000000,0.000000,-0.153769,-0.653547,-9.165116
1.004167,-0.019256,0.155480,494.352586,494.352611,0.032182,-0.278999,0.642539,0.157643,496.235474,0.305725,0.577094,-8.407331,8.432658,0.000000,0.000000,-0.153869,-0.653779,-9.168839
1.004583,-0.421142,0.115050,494.987051,494.987244,0.032183,-0.279084,0.642661,0.157607,496.441696,0.225962,0.496531,-10.303186,10.317619,0.000000,0.000000,-0.153980,-0.653994,-9.172902
1.005000,-0.059527,-0.086212,495.301817,495.301828,0.031991,-0.278885,0.642725,0.157615,496.647995,0.385992,0.536855,-8.883328,8.907902,0.000000,0.000000,-0.154124,-0.654215,-9.176702
1.005417,-0.260248,0.114923,494.511696,494.511778,0.031861,-0.277898,0.642825,0.157583,496.854173,0.305851,0.536897,-8.885464,8.906923,0.000000,0.000000,-0.154257,-0.654452,-9.180459
1.005833,-0.340726,0.074747,495.616100,495.616223,0.031865,-0.277609,0.642953,0.157552,497.060647,0.305788,0.737713,-9.675915,9.708813,0.000000,0.000000,-0.154354,-0.654726,-9.184436
1.006250,-0.220230,0.034825,496.247607,496.247657,0.032079,-0.276807,0.643059,0.157527,497.267198,-0.134261,0.456587,-9.681290,9.692981,0.000000,0.000000,-0.154353,-0.654942,-9.188447
1.006667,-0.300519,0.155735,493.723044,493.723160,0.031580,-0.278234,0.643165,0.157473,497.473233,0.225773,0.536897,-9.360966,9.379068,0.000000,0.000000,-0.154422,-0.655171,-9.192359
1.007083,-0.099607,0.115432,495.775206,495.775229,0.031629,-0.277636,0.643223,0.157414,497.679675,0.225648,0.697473,-9.198752,9.227915,0.000000,0.000000,-0.154502,-0.655431,-9.196203
1.007500,-0.139815,0.235960,495.933326,495.933402,0.031424,-0.278562,0.643275,0.157335,497.886138,0.025642,0.416390,-9.197782,9.207238,0.000000,0.000000,-0.154544,-0.655624,-9.200046
1.007917,-0.099798,0.074874,493.564924,493.564940,0.031771,-0.279099,0.643337,0.157290,498.092086,0.265938,0.416348,-9.359330,9.372359,0.000000,0.000000,-0.154627,-0.655817,-9.203968
1.008333,-0.340790,0.115304,495.458948,495.459079,0.031273,-0.278035,0.643453,0.157245,498.298287,0.105783,0.697516,-9.833378,9.858653,0.000000,0.000000,-0.154679,-0.656068,-9.208032
1.008750,-0.220357,0.114795,493.881658,493.881720,0.032300,-0.278254,0.643545,0.157197,498.504279,0.065807,0.416433,-9.829624,9.838661,0.000000,0.000000,-0.154704,-0.656262,-9.212062
1.009167,-0.099607,0.115432,495.302304,495.302328,0.032262,-0.278237,0.643578,0.157163,498.710479,-0.014334,0.416306,-8.886425,8.896182,0.000000,0.000000,-0.154720,-0.656455,-9.215885
1.009583,0.141257,-0.086339,494.196435,494.196463,0.032511,-0.279174,0.643567,0.157176,498.916570,0.225711,0.697558,-9.673619,9.701362,0.000000,0.000000,-0.154795,-0.656723,-9.219817
1.010000,-0.300519,0.034698,495.616588,495.616680,0.031460,-0.278050,0.643645,0.157173,499.122978,0.185735,0.657361,-9.043724,9.069485,0.000000,0.000000,-0.154872,-0.657000,-9.223586
1.010417,-0.059464,-0.005478,495.616579,495.616583,0.031701,-0.277154,0.643692,0.157164,499.329441,0.145948,0.657403,-8.417601,8.444494,0.000000,0.000000,-0.154941,-0.657262,-9.227235
1.010833,-0.139688,0.115559,494.986059,494.986092,0.031886,-0.279083,0.643733,0.157121,499.535652,0.225773,0.496827,-9.834682,9.849811,0.000000,0.000000,-0.155043,-0.657486,-9.231146
1.011250,0.020888,0.155480,493.880677,493.880702,0.031738,-0.278705,0.643741,0.157045,499.741579,0.425716,0.577136,-8.569039,8.598997,0.000000,0.000000,-0.155188,-0.657729,-9.234827
1.011667,-0.059654,0.356614,494.828912,494.829044,0.032088,-0.278640,0.643772,0.156936,499.947735,0.145948,0.697600,-8.887894,8.916424,0.000000,0.000000,-0.155254,-0.657989,-9.238573
1.012083,-0.220294,-0.005478,495.460427,495.460476,0.032064,-0.278693,0.643850,0.156891,500.154111,-0.054184,0.376109,-9.828320,9.835663,0.000000,0.000000,-0.155270,-0.658188,-9.242527
1.012500,-0.180023,0.316438,495.143700,495.143833,0.031946,-0.278011,0.643939,0.156787,500.360487,0.305788,0.657403,-8.728459,8.758521,0.000000,0.000000,-0.155370,-0.658445,-9.246229
1.012917,-0.340790,0.236086,495.772741,495.772915,0.032056,-0.277651,0.644058,0.156683,500.567026,0.265812,0.697643,-8.570032,8.602488,0.000000,0.000000,-0.155483,-0.658733,-9.249756
1.013333,-0.180086,0.235832,495.931845,495.931933,0.032096,-0.278119,0.644136,0.156587,500.773577,0.266001,0.697643,-7.782317,7.818051,0.000000,0.000000,-0.155583,-0.659015,-9.253141
1.013750,-0.059590,0.195910,494.826463,494.826505,0.032222,-0.279071,0.644175,0.156511,500.979897,0.105783,0.577094,-9.038514,9.057536,0.000000,0.000000,-0.155644,-0.659286,-9.256765
1.014167,-0.139815,0.074874,495.774707,495.774732,0.031634,-0.277855,0.644225,0.156469,501.186360,0.185861,0.898543,-8.257850,8.308671,0.000000,0.000000,-0.155710,-0.659616,-9.260249
1.014583,-0.099544,0.115050,495.144174,495.144197,0.031938,-0.278660,0.644277,0.156413,501.392659,0.105783,0.577052,-8.097434,8.118659,0.000000,0.000000,-0.155768,-0.659887,-9.263711
1.015000,-0.220230,0.276262,494.353576,494.353702,0.032068,-0.278787,0.644358,0.156334,501.598684,0.225836,0.697516,-9.198116,9.227290,0.000000,0.000000,-0.155837,-0.660161,-9.267456
1.015417,-0.180023,-0.086212,494.195933,494.195974,0.031874,-0.279173,0.644441,0.156333,501.804632,-0.014459,0.577052,-9.042762,9.061167,0.000000,0.000000,-0.155870,-0.660410,-9.271267
1.015833,-0.260248,0.075256,494.512669,494.512743,0.031593,-0.278787,0.644533,0.156313,502.010613,0.305788,0.577221,-9.514683,9.537080,0.000000,0.000000,-0.155975,-0.660645,-9.275177
1.016250,-0.099607,0.074747,493.878701,493.878717,0.031886,-0.279817,0.644591,0.156279,502.216418,0.305788,0.496700,-9.201530,9.219998,0.000000,0.000000,-0.156094,-0.660866,-9.279033
1.016667,-0.180023,0.115304,493.563943,493.563989,0.031376,-0.278878,0.644650,0.156231,502.422146,0.185861,0.617206,-9.203001,9.225547,0.000000,0.000000,-0.156175,-0.661115,-9.282824
1.017083,-0.019320,0.155480,494.351604,494.351628,0.031913,-0.278105,0.644686,0.156167,502.628082,0.105657,0.617249,-8.569858,8.592707,0.000000,0.000000,-0.156235,-0.661383,-9.286439
1.017500,-0.260248,0.195656,494.512177,494.512285,0.031727,-0.278800,0.644766,0.156088,502.834140,0.265749,0.778037,-8.579136,8.618442,0.000000,0.000000,-0.156343,-0.661696,-9.290100
1.017917,-0.099735,0.195656,494.827941,494.827990,0.032226,-0.278847,0.644810,0.156015,503.040219,0.385677,0.777994,-9.833854,9.872117,0.000000,0.000000,-0.156490,-0.662017,-9.294023
1.018333,0.020952,0.074747,493.722066,493.722072,0.032084,-0.279570,0.644830,0.155967,503.246036,0.305725,0.737713,-8.573598,8.610707,0.000000,0.000000,-0.156620,-0.662328,-9.297715
1.018750,-0.260311,0.195656,494.039778,494.039885,0.032093,-0.279179,0.644919,0.155899,503.451907,0.265938,0.737755,-9.042256,9.076199,0.000000,0.000000,-0.156728,-0.662627,-9.301418
1.019167,-0.260565,0.115050,494.666869,494.666951,0.031650,-0.278369,0.645019,0.155857,503.657964,0.185735,0.617206,-8.569849,8.594054,0.000000,0.000000,-0.156817,-0.662900,-9.305076
1.019583,-0.139879,-0.045908,494.510701,494.510723,0.032386,-0.279224,0.645077,0.155862,503.864043,0.265875,0.737755,-9.361283,9.394072,0.000000,0.000000,-0.156925,-0.663197,-9.308834
1.020000,-0.019446,-0.005478,494.825983,494.825983,0.031548,-0.278602,0.645091,0.155862,504.070023,0.305788,0.697727,-8.096143,8.131904,0.000000,0.000000,-0.157044,-0.663493,-9.312350
1.020417,0.020952,0.074874,492.300446,492.300452,0.032379,-0.280490,0.645090,0.155822,504.275510,0.225711,0.737840,-8.890978,8.924396,0.000000,0.000000,-0.157127,-0.663798,-9.315988
1.020833,-0.059590,0.276262,494.985077,494.985158,0.031609,-0.278207,0.645121,0.155735,504.481545,-0.014271,0.737713,-8.725870,8.757011,0.000000,0.000000,-0.157154,-0.664111,-9.319603
1.021250,-0.220103,0.074874,494.667362,494.667417,0.031914,-0.278589,0.645196,0.155692,504.687734,0.225773,0.818107,-8.256205,8.299711,0.000000,0.000000,-0.157223,-0.664438,-9.323174
1.021667,-0.139879,0.034571,495.458456,495.458477,0.032189,-0.278029,0.645251,0.155672,504.894076,0.105783,0.697600,-9.675253,9.700946,0.000000,0.000000,-0.157295,-0.664731,-9.327052
1.022083,-0.019129,0.075001,494.827937,494.827943,0.031950,-0.279280,0.645281,0.155636,505.100331,0.385866,0.617206,-8.884956,8.914723,0.000000,0.000000,-0.157417,-0.665013,-9.330831
1.022500,-0.220294,0.195656,495.300831,495.300918,0.031472,-0.278467,0.645351,0.155568,505.306662,0.105846,0.898501,-9.201539,9.245908,0.000000,0.000000,-0.157497,-0.665340,-9.334610
1.022917,-0.099735,0.115559,495.143201,495.143224,0.031938,-0.278214,0.645401,0.155512,505.512994,0.345827,0.496700,-8.728300,8.749259,0.000000,0.000000,-0.157613,-0.665578,-9.338236
1.023333,-0.099607,0.155226,495.301318,495.301353,0.031995,-0.279133,0.645462,0.155450,505.719293,0.185735,0.536982,-8.097287,8.117198,0.000000,0.000000,-0.157688,-0.665788,-9.341796
1.023750,-0.380934,0.155735,494.352103,494.352275,0.031817,-0.278551,0.645587,0.155393,505.925306,-0.014208,0.376151,-10.149789,10.156767,0.000000,0.000000,-0.157704,-0.665975,-9.345817
1.024167,-0.179959,0.034571,493.878716,493.878750,0.031760,-0.279141,0.645684,0.155370,506.131187,0.105846,0.657446,-9.202343,9.226405,0.000000,0.000000,-0.157746,-0.666221,-9.349772
1.024583,-0.300456,0.034571,494.827942,494.828034,0.031845,-0.278159,0.645796,0.155361,506.337212,0.185861,0.536897,-9.991322,10.007463,0.000000,0.000000,-0.157818,-0.666470,-9.353858
1.025000,-0.220103,-0.045654,493.564923,493.564974,0.032456,-0.279311,0.645896,0.155355,506.543029,0.185798,0.777910,-9.678185,9.711175,0.000000,0.000000,-0.157889,-0.666777,-9.357934
1.025417,-0.260248,0.235960,494.671290,494.671415,0.031382,-0.279049,0.646015,0.155279,506.749043,0.105720,0.778037,-9.987891,10.018707,0.000000,0.000000,-0.157936,-0.667093,-9.362031
1.025833,-0.461286,0.195656,494.354060,494.354314,0.031960,-0.279225,0.646163,0.155201,506.955046,0.065996,0.657530,-9.362920,9.386212,0.000000,0.000000,-0.157950,-0.667387,-9.365986
1.026250,-0.019256,0.115050,494.354062,494.354076,0.032047,-0.278099,0.646218,0.155153,507.161026,-0.174300,0.818149,-9.516143,9.552839,0.000000,0.000000,-0.157908,-0.667708,-9.369897
1.026667,-0.260120,0.034953,494.355045,494.355115,0.031670,-0.278760,0.646296,0.155133,507.367029,0.025705,0.697685,-8.885130,8.912517,0.000000,0.000000,-0.157896,-0.667996,-9.373676
1.027083,-0.059400,0.035080,494.666877,494.666882,0.032164,-0.277468,0.646338,0.155115,507.573053,-0.094348,0.536939,-9.359004,9.374869,0.000000,0.000000,-0.157893,-0.668245,-9.377477
1.027500,-0.099607,0.074874,493.721585,493.721601,0.031827,-0.278003,0.646376,0.155078,507.778858,0.305662,0.737797,-8.413018,8.450837,0.000000,0.000000,-0.157987,-0.668527,-9.381146
1.027917,-0.099607,0.195529,494.039289,494.039338,0.032210,-0.278733,0.646421,0.155016,507.984697,0.225711,0.577094,-9.831416,9.850925,0.000000,0.000000,-0.158067,-0.668804,-9.385079
1.028333,-0.139942,0.034953,494.195449,494.195470,0.032003,-0.278739,0.646473,0.154968,508.190590,-0.054246,0.938782,-8.887547,8.937156,0.000000,0.000000,-0.158070,-0.669161,-9.388869
1.028750,-0.099671,0.356741,494.036843,494.036982,0.031405,-0.278525,0.646518,0.154867,508.396515,0.025894,0.818234,-9.201857,9.238201,0.000000,0.000000,-0.158078,-0.669491,-9.392835
1.029167,-0.099481,-0.005605,494.981640,494.981650,0.032014,-0.277734,0.646559,0.154822,508.602670,0.065681,0.536939,-11.409575,11.422392,0.000000,0.000000,-0.158105,-0.669743,-9.397370
1.029583,-0.099671,0.316184,494.668825,494.668936,0.031901,-0.278390,0.646606,0.154715,508.808913,0.105846,0.657446,-10.463733,10.484901,0.000000,0.000000,-0.158149,-0.670006,-9.401839
1.030000,-0.180023,0.276008,496.247128,496.247237,0.031675,-0.277723,0.646684,0.154606,509.015497,0.145885,0.617291,-11.092477,11.110597,0.000000,0.000000,-0.158227,-0.670282,-9.406296
1.030417,-0.300645,0.155735,495.141243,495.141359,0.031958,-0.276880,0.646795,0.154541,509.221817,0.425905,0.858346,-9.353318,9.402272,0.000000,0.000000,-0.158354,-0.670612,-9.410293
1.030833,-0.220230,0.034571,494.196430,494.196480,0.031743,-0.278290,0.646881,0.154510,509.427775,-0.014208,0.697685,-9.045218,9.072096,0.000000,0.000000,-0.158387,-0.670917,-9.414138
1.031250,-0.059273,0.155480,493.879697,493.879725,0.032150,-0.279378,0.646931,0.154448,509.633537,0.105846,0.737840,-9.828485,9.856709,0.000000,0.000000,-0.158423,-0.671235,-9.418113
1.031667,-0.260120,0.236086,493.246723,493.246848,0.031808,-0.278847,0.647015,0.154366,509.839221,0.105783,0.938698,-8.883337,8.933422,0.000000,0.000000,-0.158459,-0.671610,-9.421848
1.032083,-0.099481,0.075001,494.986547,494.986562,0.032416,-0.277964,0.647062,0.154330,510.045224,-0.013956,0.898585,-8.420702,8.468522,0.000000,0.000000,-0.158481,-0.671990,-9.425541
1.032500,-0.019192,-0.005478,493.247212,493.247213,0.032321,-0.279047,0.647064,0.154310,510.250952,0.265812,0.938613,-10.618117,10.662835,0.000000,0.000000,-0.158558,-0.672356,-9.429714
1.032917,0.141448,0.235832,494.511682,494.511758,0.031417,-0.279027,0.647036,0.154236,510.456834,0.065807,0.617249,-9.201539,9.222453,0.000000,0.000000,-0.158594,-0.672635,-9.433691
1.033333,-0.139815,0.115177,493.405827,493.405860,0.032121,-0.278858,0.647086,0.154174,510.662409,-0.014271,0.617291,-9.837462,9.856820,0.000000,0.000000,-0.158596,-0.672904,-9.437712
1.033750,-0.300392,0.195784,492.142304,492.142435,0.032220,-0.279358,0.647175,0.154107,510.867753,0.025579,0.778037,-9.357550,9.389874,0.000000,0.000000,-0.158629,-0.673214,-9.441677
1.034167,0.061223,0.074874,494.982129,494.982139,0.032534,-0.277967,0.647177,0.154067,511.073787,0.385551,0.737840,-9.831584,9.866767,0.000000,0.000000,-0.158767,-0.673507,-9.445610
1.034583,0.020888,0.075129,494.826461,494.826467,0.031812,-0.278834,0.647165,0.154033,511.279877,0.425779,0.496700,-7.945848,7.972735,0.000000,0.000000,-0.158914,-0.673742,-9.449183
1.035000,0.020888,0.115177,493.406319,493.406333,0.031836,-0.279529,0.647179,0.153991,511.485661,0.025705,0.657319,-9.835324,9.857298,0.000000,0.000000,-0.158967,-0.674027,-9.453204
1.035417,-0.300582,0.075129,494.827947,494.828044,0.032247,-0.277941,0.647274,0.153940,511.691828,0.225962,0.978810,-10.618935,10.666344,0.000000,0.000000,-0.159039,-0.674390,-9.457487
1.035833,-0.179832,0.316566,496.090471,496.090605,0.031751,-0.277258,0.647362,0.153839,511.898258,0.105846,0.657446,-9.363246,9.386896,0.000000,0.000000,-0.159085,-0.674703,-9.461476
1.036250,-0.260248,0.115177,493.405337,493.405419,0.031731,-0.278857,0.647465,0.153774,512.104129,0.025768,0.898543,-9.363413,9.406463,0.000000,0.000000,-0.159110,-0.675050,-9.465344
1.036667,-0.260311,0.155480,494.826465,494.826558,0.032377,-0.277951,0.647574,0.153734,512.310153,0.145759,0.737797,-8.884472,8.916245,0.000000,0.000000,-0.159160,-0.675368,-9.469134
1.037083,-0.260248,-0.166564,494.035847,494.035943,0.031959,-0.278472,0.647674,0.153762,512.516078,0.105783,0.737797,-9.680297,9.708949,0.000000,0.000000,-0.159198,-0.675667,-9.473101
1.037500,-0.139688,0.115177,494.352583,494.352616,0.031524,-0.278769,0.647740,0.153719,512.722025,-0.014334,0.617291,-9.518741,9.538747,0.000000,0.000000,-0.159209,-0.675925,-9.477122
1.037917,-0.139752,0.316566,494.193476,494.193597,0.032138,-0.279441,0.647790,0.153618,512.927983,0.105846,0.496742,-10.146190,10.158894,0.000000,0.000000,-0.159236,-0.676146,-9.481120
1.038333,-0.019192,0.075001,494.669814,494.669820,0.031223,-0.278586,0.647818,0.153567,513.133909,-0.014208,0.577136,-7.467875,7.490157,0.000000,0.000000,-0.159242,-0.676392,-9.484549
1.038750,-0.179832,0.114795,492.458077,492.458124,0.031784,-0.280067,0.647890,0.153522,513.339352,0.025894,0.737713,-9.359338,9.388402,0.000000,0.000000,-0.159252,-0.676671,-9.488230
1.039167,-0.300582,0.115559,493.880186,493.880291,0.031906,-0.278701,0.647996,0.153474,513.545114,0.065807,0.496700,-8.100041,8.115523,0.000000,0.000000,-0.159277,-0.676920,-9.491802
1.039583,-0.139625,0.115686,494.984591,494.984624,0.031885,-0.278414,0.648085,0.153440,513.751171,0.065744,0.858304,-9.676867,9.715080,0.000000,0.000000,-0.159290,-0.677225,-9.495746
1.040000,-0.421142,-0.086084,493.405334,493.405521,0.031882,-0.278612,0.648227,0.153456,513.956976,-0.134324,0.456545,-9.991669,10.002996,0.000000,0.000000,-0.159257,-0.677465,-9.499768
1.040417,-0.219913,-0.005351,494.983119,494.983168,0.032161,-0.277733,0.648327,0.153464,514.162956,-0.014082,0.777994,-8.260778,8.297345,0.000000,0.000000,-0.159256,-0.677764,-9.503406
1.040833,-0.139815,-0.005223,492.772353,492.772373,0.032297,-0.279428,0.648390,0.153450,514.368574,0.185923,0.737713,-9.359807,9.390674,0.000000,0.000000,-0.159312,-0.678069,-9.507142
1.041250,-0.139815,0.235960,494.826473,494.826549,0.032766,-0.277737,0.648440,0.153365,514.574576,0.065807,0.657530,-8.096291,8.123214,0.000000,0.000000,-0.159359,-0.678354,-9.510658
1.041667,-0.019129,0.276135,494.353082,494.353159,0.031511,-0.278562,0.648462,0.153270,514.780600,0.225773,0.737755,-8.889998,8.923414,0.000000,0.000000,-0.159444,-0.678642,-9.514241
1.042083,-0.099417,0.034698,494.508743,494.508754,0.031844,-0.278338,0.648506,0.153216,514.986678,0.265938,0.537024,-7.940291,7.962872,0.000000,0.000000,-0.159544,-0.678888,-9.517692
1.042500,-0.220103,0.356996,495.141726,495.141904,0.031280,-0.277792,0.648587,0.153107,515.192823,0.145885,0.657446,-9.043906,9.068944,0.000000,0.000000,-0.159619,-0.679150,-9.521406
1.042917,-0.179896,0.115432,493.405332,493.405378,0.031991,-0.279306,0.648667,0.153042,515.398606,0.225711,0.617122,-9.361109,9.384144,0.000000,0.000000,-0.159693,-0.679422,-9.525274
1.043333,-0.220230,0.115177,494.510231,494.510293,0.031454,-0.277898,0.648745,0.153005,515.604509,0.025831,0.777867,-9.203960,9.236808,0.000000,0.000000,-0.159735,-0.679740,-9.529108
1.043750,-0.059210,-0.045781,493.561490,493.561496,0.031767,-0.279312,0.648787,0.153007,515.810248,0.265875,0.858388,-9.043573,9.088109,0.000000,0.000000,-0.159826,-0.680070,-9.532899
1.044167,-0.139688,0.034953,493.880193,493.880214,0.032158,-0.279589,0.648834,0.152981,516.016009,0.225711,0.536897,-9.203325,9.221735,0.000000,0.000000,-0.159914,-0.680341,-9.536711
1.044583,-0.059464,0.276262,493.879210,493.879291,0.032149,-0.278272,0.648856,0.152900,516.221869,0.105846,0.898501,-9.043088,9.088232,0.000000,0.000000,-0.159975,-0.680682,-9.540381
1.045000,0.061096,0.035080,494.984104,494.984109,0.032132,-0.278630,0.648853,0.152868,516.428046,0.225711,0.778037,-7.465931,7.509754,0.000000,0.000000,-0.160044,-0.681006,-9.543754
1.045417,-0.139815,0.034443,495.142712,495.142733,0.031941,-0.277536,0.648914,0.152851,516.634213,-0.014271,0.657446,-9.673299,9.695626,0.000000,0.000000,-0.160058,-0.681280,-9.547610
1.045833,-0.380744,0.075129,493.247215,493.247368,0.031821,-0.279054,0.649019,0.152820,516.839897,0.025957,0.536812,-9.359815,9.375232,0.000000,0.000000,-0.160080,-0.681526,-9.551455
1.046250,0.141575,0.115304,493.721087,493.721120,0.031802,-0.278231,0.649011,0.152794,517.045615,0.225648,0.737755,-8.260296,8.296246,0.000000,0.000000,-0.160163,-0.681817,-9.555006
1.046667,-0.059400,-0.166436,494.194966,494.194998,0.032398,-0.279166,0.649019,0.152827,517.251430,0.265875,0.697643,-8.729261,8.761130,0.000000,0.000000,-0.160273,-0.682113,-9.558687
1.047083,-0.019446,0.075256,493.246236,493.246242,0.032052,-0.279056,0.649029,0.152813,517.457103,0.305473,0.737840,-9.834356,9.866726,0.000000,0.000000,-0.160387,-0.682426,-9.562620
1.047500,-0.019256,0.074747,494.510228,494.510234,0.032372,-0.278567,0.649035,0.152773,517.663061,0.145822,0.858304,-8.569697,8.613807,0.000000,0.000000,-0.160459,-0.682767,-9.566301
1.047917,0.020825,0.195529,494.510217,494.510256,0.032234,-0.278803,0.649026,0.152706,517.869042,0.145948,0.737713,-8.883969,8.915741,0.000000,0.000000,-0.160522,-0.683085,-9.569981
1.048333,0.061033,0.115177,493.562966,493.562984,0.032023,-0.279105,0.649026,0.152649,518.074769,0.185923,0.778037,-8.885781,8.921716,0.000000,0.000000,-0.160591,-0.683404,-9.573727
1.048750,-0.260311,0.155608,493.719123,493.719216,0.032248,-0.279357,0.649095,0.152590,518.280442,0.105783,0.737882,-9.523143,9.552272,0.000000,0.000000,-0.160644,-0.683706,-9.577695
1.049167,-0.019129,0.115304,493.247205,493.247219,0.032186,-0.279284,0.649123,0.152534,518.486016,0.145759,0.617249,-10.150431,10.170225,0.000000,0.000000,-0.160724,-0.683971,-9.581771
1.049583,-0.059337,0.195656,493.562950,493.562992,0.032438,-0.277995,0.649147,0.152455,518.691580,0.465629,0.617206,-8.573591,8.608380,0.000000,0.000000,-0.160871,-0.684229,-9.585486
1.050000,-0.099735,0.236341,492.617169,492.617236,0.032101,-0.279653,0.649175,0.152376,518.897002,0.105972,0.617249,-9.047791,9.069440,0.000000,0.000000,-0.160951,-0.684497,-9.589244
1.050417,0.060969,-0.005478,494.037337,494.037341,0.031925,-0.278712,0.649166,0.152359,519.102686,0.265623,0.777952,-9.361776,9.397798,0.000000,0.000000,-0.161042,-0.684810,-9.593255
1.050833,-0.019256,0.034571,493.091040,493.091041,0.031860,-0.278802,0.649177,0.152353,519.308283,0.145822,0.777952,-11.251754,11.279559,0.000000,0.000000,-0.161117,-0.685131,-9.597658
1.051250,-0.139752,-0.045527,494.195940,494.195962,0.032137,-0.278283,0.649216,0.152363,519.514001,0.225836,0.738009,-9.044550,9.077420,0.000000,0.000000,-0.161203,-0.685428,-9.601679
1.051667,0.020761,-0.005605,492.459051,492.459052,0.032301,-0.280055,0.649229,0.152374,519.719455,0.185735,0.536812,-10.461623,10.477033,0.000000,0.000000,-0.161263,-0.685679,-9.605852
1.052083,-0.139688,-0.085575,494.510711,494.510738,0.032117,-0.278325,0.649279,0.152393,519.925216,-0.094159,0.737797,-9.204612,9.234614,0.000000,0.000000,-0.161246,-0.685981,-9.609840
1.052500,-0.179959,0.074619,492.458055,492.458094,0.032457,-0.279391,0.649354,0.152376,520.130560,-0.054309,0.858346,-10.149612,10.185987,0.000000,0.000000,-0.161240,-0.686311,-9.613916
1.052917,-0.220230,0.034571,492.614726,492.614777,0.032114,-0.279858,0.649432,0.152345,520.335904,0.225836,0.577179,-8.885615,8.907204,0.000000,0.000000,-0.161321,-0.686568,-9.617793
1.053333,-0.059400,0.236086,494.035367,494.035427,0.032072,-0.278962,0.649468,0.152280,520.541577,0.305914,0.536897,-10.145048,10.163849,0.000000,0.000000,-0.161434,-0.686803,-9.621878
1.053750,-0.059527,-0.045654,492.933416,492.933422,0.031673,-0.279219,0.649501,0.152279,520.747097,0.185609,0.657403,-9.354272,9.379181,0.000000,0.000000,-0.161520,-0.687074,-9.625875
